sweep_kind,sweep_value,case_id,label,omega_bar,omega_bar_star,T_max,t,model_t,US_NFA_change_current_Y,cum_VA_current_Y,cum_VA_RoW_equity_asset_current_Y,cum_VA_US_equity_liability_current_Y,cum_CA_current_Y,cum_CA_RoW_equity_quantity_current_Y,cum_CA_US_equity_liability_quantity_current_Y,cum_CA_bond_position_current_Y,US_equity_price_index,RoW_equity_price_index,US_held_RoW_equity_current_Y,foreign_held_US_equity_claim_current_Y
omega,0.5,omega_0p50_omega_star_0p25,omega_bar = 0.5 (AHP),0.5,0.25,100,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.2743104914794836,0.16447221351360305
omega,0.5,omega_0p50_omega_star_0p25,omega_bar = 0.5 (AHP),0.5,0.25,100,2,1,-0.007029550964467731,-0.005263555255110999,-0.0025203731868181684,-0.00274318206829283,-0.0017659957093567387,0.0031388046195151282,-0.004818742502296989,-8.605782657487851e-5,1.016684218257514,0.9908089273481152,0.2748381316002625,0.1719797010557058
omega,0.5,omega_0p50_omega_star_0p25,omega_bar = 0.5 (AHP),0.5,0.25,100,3,2,-0.013480793479788342,-0.010338783113268475,-0.004716114852529407,-0.005622668260739068,-0.0031420103665198724,0.0068068319237631954,-0.009627923789796029,-0.0003209185004870385,1.0338247855641796,0.9828327586845762,0.27534000104604167,0.1790865224006693
omega,0.5,omega_0p50_omega_star_0p25,omega_bar = 0.5 (AHP),0.5,0.25,100,4,3,-0.01932577713662702,-0.0152102887561759,-0.006607737584097096,-0.008602551172078804,-0.004115488380451132,0.01097954923483875,-0.014407169397153653,-0.0006878682181362287,1.051358187557406,0.9759232458025683,0.27581061929603123,0.18576011806998918
omega,0.5,omega_0p50_omega_star_0p25,omega_bar = 0.5 (AHP),0.5,0.25,100,5,4,-0.024546929950008324,-0.019863168295712243,-0.008215556580894378,-0.011647611714817865,-0.004683761654296036,0.015624148048391363,-0.019137128134971714,-0.001170781567715683,1.0692304339435132,0.9699528637450232,0.2762458925259975,0.19197531532371945
omega,0.5,omega_0p50_omega_star_0p25,omega_bar = 0.5 (AHP),0.5,0.25,100,6,5,-0.029136071969801475,-0.02428381389825679,-0.009559602397933362,-0.014724211500323426,-0.0048522580715446685,0.020701413158605103,-0.023799585605094112,-0.0017540856250556557,1.0873964339094488,0.9648118820757143,0.276642897946362,0.19771403173399207
omega,0.5,omega_0p50_omega_star_0p25,omega_bar = 0.5 (AHP),0.5,0.25,100,7,6,-0.033093324563943004,-0.028460500387267506,-0.010659521331140311,-0.01780097905612719,-0.004632824176675479,0.02616750019205327,-0.02837754677445834,-0.002422777594270405,1.1058192870073622,0.9604058307122125,0.2769996961061552,0.20296480592813293
omega,0.5,omega_0p50_omega_star_0p25,omega_bar = 0.5 (AHP),0.5,0.25,100,8,7,-0.03642598704879881,-0.032383778867257386,-0.011534474996654612,-0.02084930387060277,-0.00404220818154138,0.03197557086943615,-0.03285529379941464,-0.003162485251562892,1.1244695631554573,0.9566533072685619,0.2773151721103073,0.2077222135664469
omega,0.5,omega_0p50_omega_star_0p25,omega_bar = 0.5 (AHP),0.5,0.25,100,9,8,-0.03914740792042763,-0.036046686499748126,-0.012203039649363754,-0.02384364685038437,-0.003100721420679481,0.03807723664676833,-0.037218427719173414,-0.003959530348274396,1.143324552515989,0.9534841067804257,0.2775888941004545,0.21198620868909135
omega,0.5,omega_0p50_omega_star_0p25,omega_bar = 0.5 (AHP),0.5,0.25,100,10,9,-0.0412759142054277,-0.03944481966644681,-0.012683117352758731,-0.026761702313688084,-0.0018310945389808722,0.04442380706446998,-0.04145389306219518,-0.004801008541255673,1.1623675715113768,0.9508376106947678,0.27782099618274597,0.21576143836973027
