t,regime,is_switch,Y_US,NFA_US,rebased_NFA_change_current_Y,q_US,q_W,n_W,n_US_star,foreign_equity_assets,foreign_held_US_equity_liabilities,US_bond_position,VA_asset,VA_liability,VA,CA_asset,CA_liability,CA_bond,CA,RES,VA_current_Y,CA_current_Y,cum_VA_asset_current_Y,cum_VA_liability_current_Y,cum_VA_current_Y,cum_CA_asset_current_Y,cum_CA_liability_current_Y,cum_CA_bond_current_Y,cum_CA_current_Y,cum_RES_current_Y
1,u,false,2.725595527795278,0.14218193690303926,0.0,1.0667190368509896,2.3249284524982983,0.3234659273219508,0.4212911505305025,0.75203513784455,0.44939929032774284,-0.1604539106137679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,u,false,2.7301075960486854,0.12497592409464958,-0.006302320366153195,1.0833643712649312,2.305429263001035,0.32698958565920166,0.4337906664104329,0.753851359475307,0.46995335257633414,-0.15892208280432332,-0.006307323412758739,-0.007012532086214453,-0.013319855498973191,0.008123545043515746,-0.013541530162376846,0.0015318278094445803,-0.0038861573094165196,2.949029909160572e-17,-0.0048788756597912715,-0.001423444744463917,-0.0023102838224718313,-0.00256859183731944,-0.0048788756597912715,0.002975540251700351,-0.004960071970048232,0.000561086973883964,-0.001423444744463917,1.0801881630704721e-17
3,u,false,2.742693704907298,0.10901088908602025,-0.012094331845246853,1.1005061758861976,2.288431337489412,0.3311974719083455,0.446122036214567,0.757922673612327,0.49096005605305687,-0.15795172847324995,-0.005558144620111521,-0.00743595485013657,-0.012994099470248092,0.009629458757131476,-0.013570748626586119,0.0009703543310733698,-0.002970935538381273,2.949029909160572e-17,-0.004737714403543755,-0.0010832181271520035,-0.004326209671769129,-0.005267991431379822,-0.009594201103148951,0.00647283499753658,-0.009885274006518839,0.0009123082668841153,-0.002500130742098145,2.1504624478366593e-17
4,u,false,2.763223333132342,0.09427326948367787,-0.01733796431055828,1.1180545030267444,2.2736719495843145,0.3360985519199116,0.45835431026774676,0.7641778497962104,0.5124651005765718,-0.1574394797359607,-0.004888271961082925,-0.007828695436100075,-0.012716967397183,0.011143448144966298,-0.013676349087414861,0.0005122487372892504,-0.0020206522051593127,-6.591949208711867e-17,-0.00460222206605619,-0.0007312663370096605,-0.006063114694012602,-0.008062027453712208,-0.014125142147724812,0.010457515901495013,-0.014761249077229144,0.0010909110536462118,-0.0032128221220879194,-2.5111592757294137e-18
5,u,false,2.79158910751615,0.08074330895395654,-0.022008478175983403,1.1359354434818032,2.2609137311541816,0.34170409190372364,0.4705479306980804,0.7725634733766992,0.5345120723369687,-0.15730809208577387,-0.004288018739445601,-0.008195806129217142,-0.012483824868662743,0.012673642319934396,-0.013851165631179795,0.00013138765018683163,-0.0010461356610585674,-1.9081958235744878e-17,-0.00447194210460664,-0.0003747455734950117,-0.007537555823221042,-0.010916000646234771,-0.018453556469455814,0.01489119374825739,-0.019573007130757162,0.0011268916759719922,-0.0035549217065277794,-9.321161223044201e-18
6,u,false,2.8277135622596736,0.06839980608238572,-0.026092505162781422,1.1540886321782011,2.249944674955881,0.3480272053913347,0.48275628646304125,0.7830419575100103,0.5571435423195591,-0.15749860910806548,-0.0037481713872811713,-0.008541945376661827,-0.012290116763943,0.0142266555205922,-0.014089524605928555,-0.00019051702229161416,-5.3386107627968055e-5,1.457167719820518e-16,-0.004346308950091027,-1.8879602354527846e-5,-0.008766775550232855,-0.01379734298376126,-0.022564118533994117,0.019732108135292175,-0.024305615332043538,0.0010451205331210374,-0.0035283866636303283,4.2329577309361086e-17
7,u,false,2.8715533031024774,0.057223198635339534,-0.029586335001763105,1.1724653384772796,2.2405767621589794,0.3550827814901653,0.495026817450602,0.7955902288496389,0.5804017850775506,-0.15796524513674878,-0.0032602885110554363,-0.008871470490365118,-0.012131759001420554,0.01580855985068419,-0.014386772267626372,-0.00046663602868329823,0.0009551515543745198,-1.491862189340054e-16,-0.004224807176071983,0.0003326253959285927,-0.009768308532329677,-0.016676132850105153,-0.02644444138243483,0.02493608931426091,-0.028944644799493168,0.0008666617730307569,-0.0031418937122015,-1.0269807305942702e-17
8,u,false,2.923101517383525,0.04719757228376387,-0.03249437765141174,1.1910269302797607,2.2326439586177185,0.36288760417221644,0.5074018611649062,0.810198817112357,0.6043292811214755,-0.15867196370711759,-0.0028168019464459584,-0.009188485716799387,-0.012005287663245346,0.017425390209163987,-0.014739010327125514,-0.0007067185703688028,0.00197966131166967,8.673617379884035e-18,-0.0041070375393569315,0.0006772468557443976,-0.01055968135031126,-0.019525456008309437,-0.030085137358620697,0.03045761473439345,-0.033476463313470005,0.0006096082862853637,-0.0024092402927911884,-7.121436456423431e-18
9,u,false,2.982389462009543,0.038311988608873304,-0.03482776134636343,1.2097435720405154,2.2260000116312813,0.3714605555158401,0.5199193474145641,0.8268712008988223,0.6289690885142686,-0.15959012377568035,-0.0024110060041554206,-0.009496858864163748,-0.011907864868319169,0.01908338979062072,-0.015142948528629283,-0.0009181600685627678,0.0030222811934286706,-6.418476861114186e-17,-0.003992726308889119,0.001013375761927568,-0.011158176021690318,-0.02232161486541804,-0.03347979088710836,0.03625082874446633,-0.03788842828083523,0.0002896291209081482,-0.0013479704154607548,-2.85011234802276e-17
10,u,false,3.049487343606217,0.030561348198180682,-0.03660306683459971,1.228593117563827,2.2205162443812037,0.3808228581915747,0.5326133892831338,0.8456233428460711,0.6543651443956016,-0.16069685025228883,-0.0020370032290333955,-0.00980024340754125,-0.011837246636574645,0.020789145176282216,-0.015595812473791801,-0.0011067264766084772,0.004086606225881938,8.500145032286355e-17,-0.0038817169257624566,0.0013400961425369486,-0.011580644820649705,-0.02504420702624879,-0.0366248518468985,0.04227046066715423,-0.04216900981087154,-7.966573103846243e-5,2.1785125244230577e-5,0.0
