t,regime,phi_US,phi_W,q_US,d_US,q_W,d_W,Q_US,Q_W,e_US,e_W,Y_US,Y_W,N_US,N_W,omega,omega_star,theta_US_star,theta,R_f,R_f_W,I_US,I_W,Psi
1,u,0.6638424261808861,0.7243657146049945,0.8569637487314054,0.11377777882138468,0.7357498157469511,0.10659038821080666,0.9145787196563017,0.7763093906855346,1.682003084511486,1.691358417676285,1.7381658924079744,1.7573892309485084,1.0,1.0,0.5965350281346643,0.16972630844742614,0.7405978752305434,-0.7484221548789214,1.075831977718466,1.090409570666151,0.057614970924896404,0.04055957493858356,0.987968106677085
2,u,0.6563935784133097,0.7215037579561987,0.8098820170694244,0.10632027105535774,0.705954458757484,0.10186975898789181,0.9237295902998688,0.78636029253934,1.7117236479832065,1.6999984142432978,1.7657940134688297,1.7659951496459387,1.0672315147638227,1.0551268570790011,0.5944776980181851,0.16971606675831766,0.7440197857079369,-0.7425995172481373,1.0728113730346145,1.087280277585288,0.059397978442886745,0.04148878322964869,0.9879283473733338
3,u,0.648832517630612,0.7185957632833336,0.7644604087442377,0.09920135432689009,0.6771277589777278,0.0973162277605867,0.9331611245658606,0.7967001764147127,1.7424524491355045,1.708768815738072,1.7943606429947834,1.7747191862704401,1.1405730351223309,1.1138966299941988,0.5924503271616394,0.16970170379351923,0.7473853870304781,-0.7365840133368233,1.0697474686882171,1.0841092085975528,0.061238195933587765,0.042449847613897605,0.9878902709886551
4,u,0.6411608667609648,0.7156416417052655,0.7207019549635968,0.09241717802415632,0.6492461133544758,0.09292551088635198,0.9428835425690464,0.8073389600273206,1.7742266411494834,1.7176727292537193,1.8239009287384254,1.7835637559209927,1.220679467362795,1.1765876761831557,0.590457081571962,0.1696811044754712,0.7506778373686962,-0.7303654667346097,1.066640415076495,1.0808967950211443,0.06313746405675795,0.04344398424463226,0.9878541497021066
5,u,0.6333804843238569,0.712641339739442,0.6786058202107206,0.08596313661401087,0.6222863635598673,0.08869339756577786,0.9529074816726875,0.8182869091318227,1.807084830375978,1.7267133376130757,1.8544514309147593,1.7925313143494839,1.3082849797690255,1.2435021841810074,0.5885022687802556,0.16965187586797462,0.7538789032932415,-0.7239333857745963,1.063490404684357,1.0776435237224793,0.06509767990716192,0.04447245685907108,0.9878202578315234
6,u,0.6254934724041913,0.7095948389315699,0.6381673329381249,0.07983390021087787,0.5962257865250138,0.08461574819121315,0.9632440086263646,0.829554652613506,1.841067133747655,1.7358939007319818,1.886050179091217,1.8016243574761863,1.404213540898884,1.314968408516474,0.5865903185117142,0.16961133190027522,0.7569689625601425,-0.7172770525098342,1.0602976715999046,1.0743499360999198,0.06712079835532328,0.0455365789902258,0.9877888676426211
7,u,0.6175021805834054,0.7065021574729283,0.5993780443643857,0.07402344987776507,0.5710420817886314,0.08068849255830009,0.9739046414509397,0.841153193745479,1.87621523775741,1.7452177573941126,1.9187367297821627,1.8108454215364151,1.5093909683398952,1.3913431310114985,0.5847257624535004,0.16955648152464833,0.7599270348925902,-0.7103856362400637,1.0570624912708753,1.0710166270409045,0.06920883466610707,0.04663771573036047,0.9877602447439953
8,u,0.6094092121829273,0.7033633496341994,0.5622258022600933,0.06852511664484756,0.546713362410366,0.07690762837494622,0.9849013630573222,0.8530939265787973,1.912572460242011,1.7546883266996658,1.9525522273775644,1.820197082505928,1.6248587191473174,1.4730143724448457,0.5829132069995011,0.16948401949451322,0.762730838233425,-0.7032483256465765,1.0537851793442672,1.0676442427873893,0.07136386612541414,0.04777728614068057,0.9877346427942437
9,u,0.6012174282208254,0.7001785060197752,0.526694848647425,0.06333162447219236,0.523218144494497,0.07326921974691915,0.9962466391596324,0.8653886511127735,1.9501838141463983,1.764309109747038,1.9875394665916302,1.8296819557959052,1.7517896885879554,1.5604043823213898,0.5811573030040191,0.1693903219165689,0.765356879195093,-0.6958544854575468,1.0504660903804108,1.0642334784044114,0.07358803426667944,0.048956765533494304,0.9877122977923323
10,u,0.5929299506687881,0.6969477535068158,0.49276593732464,0.05843513658183159,0.500535337238942,0.06976939576789142,1.0079534358030484,0.8780495897066225,1.989096073691947,1.774083691339829,2.0237429572022494,1.8393026958384762,1.8915063280342244,1.6539729369455676,0.5794627108824744,0.16927144716372874,0.7677805797615408,-0.6881938358604229,1.0471056161175927,1.060785074542399,0.07588354711377589,0.05017768792848959,0.9876934219564226
